iter	MAE
0	218275.5821
1	213117.4836
2	208569.8126
3	204878.6695
4	201435.2383
5	198028.2046
6	195242.8868
7	193211.8926
8	190472.2651
9	188439.9
10	186422.1037
11	184780.2279
12	182662.2373
13	180802.7575
14	178324.3552
15	176892.9949
16	175833.2248
17	174929.0764
18	173384.7708
19	172210.7981
20	170717.6962
21	154701.6138
22	154446.1743
23	154216.4451
24	153778.2807
25	152745.0383
26	152408.9019
27	151118.0669
28	150794.4501
29	150621.6241
30	149090.0759
31	148838.7761
32	148671.4215
33	147596.159
34	147533.0787
35	147428.9436
36	147211.3326
37	146791.9663
38	146419.8561
39	146098.536
40	145355.8059
41	145107.0575
42	144566.4947
43	144129.4549
44	143408.7355
45	143076.844
46	142905.1622
47	142306.5196
48	142235.4765
49	142190.1922
50	141689.0174
51	141377.6187
52	140863.226
53	140700.7509
54	140438.5112
55	140089.8019
56	140066.8356
57	139864.0665
58	139760.9646
59	126081.0681
60	125846.2661
61	125814.5745
62	125520.9841
63	125362.1089
64	125095.9244
65	125027.7723
66	124720.2512
67	124700.5237
68	124520.2968
69	124482.091
70	124282.5608
71	124268.8889
72	124111.4948
73	124071.3612
74	123994.5916
75	123973.2969
76	123778.2163
77	123684.3343
78	123596.5066
79	123562.1021
80	123531.1524
81	123486.414
82	123463.9475
83	123455.4815
84	123297.0787
85	123237.9549
86	123203.0669
87	123138.2244
88	123112.5239
89	123096.0604
90	123080.1825
91	123052.0158
92	123024.7491
93	123001.3049
94	122979.1444
95	122923.9816
96	122863.6378
97	122760.6287
98	122653.3396
99	122632.3501
100	122617.9978
101	122474.5498
102	122375.2077
103	122363.3544
104	122312.9613
105	122278.9008
106	122242.5902
107	122222.2934
108	122197.6847
109	122171.3727
110	122130.3996
111	122099.3094
112	122082.3758
113	122048.725
114	121898.8415
115	121875.2957
116	121828.2541
117	121800.8641
118	121796.1311
119	109854.9806
120	109842.1354
121	109835.2937
122	109821.2451
123	109813.7638
124	109805.598
125	109796.3491
126	109785.471
127	109772.3116
128	109748.33
129	109727.1226
130	109713.9224
131	109708.1286
132	109703.9099
133	109691.3603
134	109680.7055
135	109672.6926
136	109665.2504
137	109647.601
138	109640.096
139	109595.3622
140	109576.5007
141	109569.258
142	109565.4905
143	109530.0694
144	109505.4861
145	109492.7524
146	109398.4932
147	109368.2763
148	109349.5644
149	109342.8725
150	109324.0231
151	109318.7425
152	109310.5339
153	109300.0658
154	109287.8527
155	109266.7234
156	109254.7336
157	109247.6104
158	109232.5237
159	109227.267
160	109148.5821
161	109142.4207
162	109138.6596
163	109131.1256
164	109102.8801
165	109100.4364
166	109088.5871
167	109070.8496
168	108988.0828
169	108984.6695
170	108974.6932
171	108971.4466
172	108924.5751
173	108910.1769
174	108904.3209
175	108900.2035
176	108894.9556
177	108887.9021
178	108882.7583
179	108863.8919
180	108858.9742
181	108847.5166
182	108846.2419
183	98122.59489
184	98117.03566
185	98112.19235
186	98091.42418
187	98082.84436
188	98050.69264
189	98049.40887
190	98041.98049
191	98031.6767
192	98010.34477
193	98001.0627
194	98000.44829
195	97999.50816
196	97977.29289
197	97974.278
198	97972.76295
199	97962.63618
200	97953.49901
