Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Other Wards,3071626,2712391,1890877,975708,954414,589585,88.3,69.7,51.6,97.8,364609,38.2,19.2,120007713,10.37,175.04,7190364
Shantala Nagar,2401161,2384599,2067653,856568,841607,474271,99.3,86.7,41.4,98.3,367010,43.6,19.8,71177412,7.48,138.74,3863534
Doddakanahalli,1727250,1711471,1456511,596480,587089,350792,99.1,85.1,40.9,98.4,236139,40.2,20.3,59211778,9.02,159.54,3354728
Agara,1226026,1214797,1043176,520539,508562,336728,99.1,85.9,49.9,97.7,171714,33.8,27.5,47568017,7.63,137.67,2633026
Koramangala,1169452,1158300,994218,528008,515062,334904,99.1,85.8,53.1,97.5,180001,34.9,28.6,44596808,6.97,128.74,2437405
Adugodi,1191234,1182173,1005962,536543,522711,313312,99.2,85.1,53.3,97.4,209053,40.0,26.3,43890701,7.02,131.45,2338615
Suddagunte Palya,1320628,1308932,1126624,542706,530825,296399,99.1,86.1,48.2,97.8,234284,44.1,22.4,39411590,7.11,129.98,2174999
Vasanth Nagar,962005,955421,795373,423856,416058,262534,99.3,83.2,53.3,98.2,153393,36.9,27.3,35920222,7.4,132.98,2032705
Bellanduru,1365703,1354563,1176030,447575,440185,257849,99.2,86.8,38.1,98.3,182240,41.4,18.9,44694374,9.17,160.63,2550817
Hoysala Nagar,703222,698197,586782,331654,326166,217110,99.3,84.0,56.5,98.3,108961,33.4,30.9,27898914,6.37,119.8,1504039
Byrasandra,624214,618914,500722,314383,308615,208058,99.2,80.9,62.8,98.2,100479,32.6,33.3,24700142,6.28,113.2,1372034
Old Thippasandra,633865,628921,541589,315579,310219,203512,99.2,86.1,58.3,98.3,106602,34.4,32.1,27716600,7.01,129.86,1493473
Marathahalli,1129332,1120935,942426,375796,369706,202837,99.3,84.1,39.9,98.4,166767,45.1,18.0,35748713,9.01,160.03,2011710
Domlur,703108,698041,602252,313868,308639,201305,99.3,86.3,52.1,98.3,107215,34.7,28.6,28037082,7.06,130.78,1507904
HRBR Layout,495908,493395,399052,284677,280474,194414,99.5,80.9,71.3,98.5,85982,30.7,39.2,24694375,6.66,120.75,1365275
Sampangiram Nagar,918287,911485,763612,361001,355542,188850,99.3,83.8,47.3,98.5,166584,46.9,20.6,28029607,7.69,137.83,1592800
Madivala,751268,742961,621190,322177,315216,187691,98.9,83.6,51.9,97.8,127466,40.4,25.0,23498153,6.69,123.51,1283390
Gandhinagar,583453,577642,409590,298294,292759,183335,99.0,70.9,72.8,98.1,109334,37.4,31.4,27800422,8.46,153.09,1574607
Aramane Nagara,546489,542221,416957,285980,279386,180884,99.2,76.9,68.6,97.7,98438,35.2,33.1,24979189,7.22,128.38,1425382
Jakkuru,629076,624824,485812,297748,291553,179670,99.3,77.8,61.3,97.9,111831,38.4,28.6,29913410,8.89,154.35,1743306
Vinayakanagar,564655,559717,461557,280715,275406,173474,99.1,82.5,60.8,98.1,101845,37.0,30.7,23202000,7.48,133.85,1292724
J P Nagar,526581,522247,423506,272513,266903,172802,99.2,81.1,64.3,97.9,93999,35.2,32.8,21453148,6.45,116.66,1186151
Whitefield,838663,831606,684364,286103,281317,170977,99.2,82.3,41.8,98.3,110293,39.2,20.4,29280129,8.52,151.14,1679399
Munnekollala,993367,983688,831207,302856,297146,166505,99.0,84.5,36.4,98.1,130590,44.0,16.8,29576393,9.04,159.13,1687327
Ejipura,595161,589132,496076,273619,268768,163779,99.0,84.2,55.2,98.2,104902,39.0,27.5,21092572,6.47,122.29,1148191
Jeevanbhima Nagar,658033,652625,563304,269919,264220,160433,99.2,86.3,47.9,97.9,103743,39.3,24.4,24369066,8.39,149.77,1367391
Kempapura,467690,464839,360926,240038,235067,150852,99.4,77.6,66.5,97.9,84173,35.8,32.3,22886452,8.28,145.63,1322285
HSR - Singasandra,633334,627352,520343,255679,250108,145339,99.1,82.9,49.1,97.8,104704,41.9,22.9,21487915,7.91,141.29,1209859
Shakambari Nagar,404779,401530,310798,215522,211098,143850,99.2,77.4,69.3,97.9,67203,31.8,35.5,16847054,6.29,114.15,935402
New Thippasandra,514162,509398,430195,216416,212511,141334,99.1,84.5,50.3,98.2,71126,33.5,27.5,20334402,7.57,135.66,1138133
Hudi,624101,619409,505072,241433,237996,139066,99.3,81.5,47.8,98.6,98878,41.5,22.3,24067402,8.59,152.37,1376861
Ulsoor,591305,586928,509987,234286,231034,137688,99.3,86.9,45.9,98.6,93291,40.4,23.3,19496628,7.28,132.34,1087433
Horamavu,474215,471298,373096,217363,213193,134402,99.4,79.2,58.3,98.1,78766,37.0,28.3,21419228,8.54,149.94,1243702
C V Raman Nagar,553745,549626,443121,223614,220398,133108,99.3,80.6,50.5,98.6,87237,39.6,24.0,18927535,7.35,132.29,1061714
BTM Layout,592216,586375,486876,231084,225865,131673,99.0,83.0,47.5,97.7,94148,41.7,22.2,17159245,6.85,126.39,944612
AECS Layout,676398,671200,554146,225651,222152,131372,99.2,82.6,40.7,98.4,90735,40.8,19.4,21664546,7.79,141.87,1221715
Banasavadi,399496,396889,320276,196872,193129,129571,99.4,80.7,61.5,98.1,63520,32.9,32.4,18119313,7.33,131.58,1027738
Hennur,415505,412861,318728,206331,202957,129335,99.4,77.2,64.7,98.4,73580,36.3,31.1,18050307,7.26,130.63,1026125
N S Palya,467723,462917,382404,202109,197602,128229,99.0,82.6,52.8,97.8,69328,35.1,27.4,16804588,7.29,131.77,932215
Dodda Nekkundi,607388,602318,496200,214444,210757,127586,99.2,82.4,43.2,98.3,83119,39.4,21.0,21582457,8.44,148.42,1235186
Jnana Bharathi,319314,316723,227074,186083,182666,125721,99.2,71.7,82.0,98.2,56904,31.1,39.4,16382506,7.13,124.87,947899
Sarakki,340594,337939,269400,193160,188967,125071,99.2,79.7,71.7,97.8,63821,33.8,36.7,14915086,6.07,111.14,813727
Subramanyapura,355850,352874,269420,186568,182249,124196,99.2,76.4,69.3,97.7,58020,31.8,34.9,17248916,7.97,139.95,998378
Pulikeshinagar,372621,370303,305602,186689,184193,122558,99.4,82.5,61.1,98.7,61553,33.4,32.9,14606750,5.85,110.85,795966
Kalkere,474310,471110,380594,195394,192404,121528,99.3,80.8,51.3,98.5,70832,36.8,25.6,19739152,8.75,154.38,1134101
Ibluru,529396,524454,451357,196173,192428,120717,99.1,86.1,43.5,98.1,71676,37.3,22.8,18702426,8.26,146.46,1052691
Kalena Agrahara,470987,465367,374447,189087,185254,120613,98.8,80.5,50.5,98.0,64607,34.9,25.6,20590403,9.98,172.89,1198826
Vishveshwara Puram,387229,384832,294439,190086,186643,120170,99.4,76.5,64.6,98.2,66426,35.6,31.0,14185350,6.65,120.04,795860
Rajarajeshwari Nagar,297997,295464,208838,174366,170354,119567,99.2,70.7,83.5,97.7,50761,29.8,40.1,17302405,7.97,137.66,1013757
Hulimavu,399563,395970,317072,186245,182318,119094,99.1,80.1,58.7,97.9,63188,34.7,29.8,17254752,7.91,141.18,979150
Mahadevapura,519993,516186,422924,197874,195067,116959,99.3,81.9,46.8,98.6,78061,40.0,22.5,18052185,7.57,137.16,1018123
Belathur,473171,468835,359181,189652,186679,115788,99.1,76.6,52.8,98.4,70818,37.9,24.5,19751448,8.71,153.6,1138460
Rupenaagrahara,468424,464133,386058,195007,190728,111611,99.1,83.2,50.5,97.8,79081,41.5,23.8,16717199,7.96,142.96,948513
Byatarayanapura,326788,324286,247453,172205,168796,110246,99.2,76.3,69.6,98.0,58518,34.7,33.7,17387578,8.48,148.43,1012272
Jogupalya,352576,349570,298481,165972,163111,108242,99.2,85.4,55.6,98.3,54840,33.6,30.7,13870184,6.39,118.33,764262
Hemmigepura,324225,318922,224149,161678,158827,106777,98.4,70.3,72.1,98.2,52002,32.7,32.9,15755609,8.48,146.23,924865
Babusab Palya,387542,384927,315006,171652,168721,105895,99.3,81.8,54.5,98.3,62790,37.2,27.3,15117374,7.23,131.09,854485
Kogilu,323620,320789,221308,164071,159915,104384,99.1,69.0,74.1,97.5,55521,34.7,32.3,20501848,11.34,190.25,1229470
Konena Agrahara,398931,395259,335826,162443,159894,102850,99.1,85.0,48.4,98.4,57016,35.7,25.8,15286571,8.17,146.2,859142
Konanakunte,288519,286472,217972,158009,154765,101021,99.3,76.1,72.5,97.9,53684,34.7,35.0,12839437,6.87,122.45,720459
Sunkenahalli,266613,264632,207272,151687,148854,100920,99.3,78.3,73.2,98.1,47886,32.2,37.9,12127955,6.41,114.38,686467
Kadu Malleshwara,234374,232026,177602,142192,139524,100728,99.0,76.5,80.1,98.1,38757,27.8,43.0,12911553,7.26,127.05,743775
Subhash Nagar,312008,308910,215494,163133,160185,96108,99.0,69.8,75.7,98.2,64030,40.0,30.8,15244495,8.63,153.3,865902
Radhakrishna Temple Ward,235760,234113,181242,142398,138698,94980,99.3,77.4,78.6,97.4,43684,31.5,40.3,13095032,7.4,130.61,749821
Amrutahalli,290243,288253,221378,144297,141512,90988,99.3,76.8,65.2,98.1,50503,35.7,31.4,14484899,8.49,149.11,840939
Nagapura,224785,222670,157606,134768,132094,90419,99.1,70.8,85.5,98.0,41635,31.5,40.2,11369271,6.8,120.42,647417
Lingarajapura,247617,246121,206967,134855,133228,89020,99.4,84.1,65.2,98.8,44176,33.2,35.9,11030167,6.22,115.48,611475
Devasandra,328961,326957,269416,153505,151453,88876,99.4,82.4,57.0,98.7,62507,41.3,27.0,14425616,7.7,139.96,793244
Arakere,297635,295178,236337,134482,131785,88063,99.2,80.1,56.9,98.0,43700,33.2,29.6,12750606,7.82,139.77,726830
Bilekhalli,341292,337884,279585,138524,135758,86611,99.0,82.7,49.5,98.0,49113,36.2,25.4,12355272,8.19,144.87,696746
Lal Bahadur Nagar,298439,296273,233434,130990,128841,85453,99.3,78.8,56.1,98.4,43354,33.7,28.6,11787280,7.19,129.9,663330
Hombegowda Nagara,297006,295059,242405,134879,132613,84882,99.3,82.2,55.6,98.3,47700,36.0,28.6,10291927,6.4,119.14,572545
Sanjaya Nagar,232325,230554,173003,126576,123907,84364,99.2,75.0,73.2,97.9,39515,31.9,36.3,11950621,7.31,130.66,690457
Jalakanteshwara Nagara,341355,338254,285154,127964,126460,84108,99.1,84.3,44.9,98.8,42323,33.5,24.6,12321916,8.16,146.14,690292
Subramanya Nagar,227183,224956,167526,134840,132053,84018,99.0,74.5,80.5,97.9,47975,36.3,37.0,11620465,7.33,130.39,658156
A Narayanapura,380520,378236,297503,150915,148604,83641,99.4,78.7,50.7,98.5,64929,43.7,22.0,12960687,7.84,144.2,724832
Dharmaraya Swamy Temple Ward,366440,364066,297903,156645,154173,81338,99.4,81.8,52.6,98.4,72800,47.2,22.2,11791632,8.25,144.28,677451
Ganesh Mandir ward,194825,193315,148871,117351,115021,81053,99.2,77.0,78.8,98.0,33945,29.5,41.6,9225801,6.34,114.06,518193
Maruthi Seva Nagar,242742,241202,199286,122196,120619,77966,99.4,82.6,61.3,98.7,42616,35.3,32.1,10465501,6.83,125.11,588080
Yediyur,217584,215964,173558,116380,114022,77289,99.3,80.4,67.1,98.0,36701,32.2,35.5,9336611,6.16,111.86,524159
RBI layout,238409,236384,191958,114847,112912,75034,99.2,81.2,59.8,98.3,37859,33.5,31.5,10308499,7.74,138.01,586125
Basavanagudi,186676,185269,141789,107661,105222,74855,99.3,76.5,75.9,97.7,30342,28.8,40.1,8739365,5.93,106.91,494307
Ashoka Pillar,240165,238394,193374,116459,114382,74768,99.3,81.1,60.2,98.2,39588,34.6,31.1,8892465,6.24,113.58,495915
Shanthi Nagar,295377,293117,250398,119619,117491,74214,99.2,85.4,47.8,98.2,43247,36.8,25.1,8832651,6.12,113.8,489106
Hebbala,210018,208859,160264,113237,111227,74191,99.5,76.7,70.7,98.2,37015,33.3,35.3,10451800,7.18,128.16,600960
Jakkasandra,293539,290421,234646,122559,120381,71542,98.9,80.8,52.2,98.2,48812,40.6,24.4,10009357,7.65,137.15,561808
Vasanthpura,197481,195766,146501,106645,104593,71270,99.1,74.8,72.8,98.1,33305,31.8,36.1,9166566,7.22,127.94,522826
Chatrapati Shivaji,246998,245430,168460,123534,121287,70969,99.4,68.6,73.3,98.2,50282,41.5,28.7,11852321,10.02,176.51,684706
Ganga Nagar,188574,187413,143991,105956,103887,70862,99.4,76.8,73.6,98.0,33000,31.8,37.6,9141119,6.67,120.88,517686
Veeramadakari,220637,219153,162699,111091,108624,70763,99.3,74.2,68.3,97.8,37831,34.8,32.1,9332952,7.09,125.9,537835
Kodigehalli,196145,194961,149308,107883,105725,70564,99.4,76.6,72.3,98.0,35140,33.2,36.0,10230486,7.6,133.63,593640
Chunchaghatta,217645,215880,168160,102629,100846,69785,99.2,77.9,61.0,98.3,31050,30.8,32.1,9809361,8.04,142.83,561909
Girinagar,151298,150124,109429,94526,92674,68559,99.2,72.9,86.4,98.0,24098,26.0,45.3,8120554,6.16,110.86,464514
Vidyaranyapura,162334,161161,115878,94688,92989,68434,99.3,71.9,81.7,98.2,24532,26.4,42.2,10260458,8.23,142.87,601776
Puttenahalli - Sarakki Lake,207078,205166,162436,105664,103627,68322,99.1,79.2,65.0,98.1,35287,34.1,33.0,8925759,6.89,124.26,502544
Vijnana Nagar,284810,282184,236325,102203,100939,67616,99.1,83.7,43.3,98.8,33306,33.0,23.7,10484765,8.31,148.27,591561
Ramamurthy Nagara,232429,231146,181021,102245,100972,66479,99.5,78.3,56.5,98.8,34467,34.1,28.6,9319066,7.22,130.58,526973
Kacharkanahalli,191730,190608,151235,100993,99607,65419,99.4,79.3,66.8,98.6,34157,34.3,34.1,8339738,6.79,123.42,468312
New Bayappanahalli,254107,252254,209679,108901,107300,65408,99.3,83.1,51.9,98.5,41874,39.0,25.7,8828102,6.72,121.67,495902
Uttarahalli,186490,185055,140087,98160,95735,65255,99.2,75.7,70.1,97.5,30463,31.8,35.0,8320142,7.63,135.69,473598
Begur,265563,263194,209042,106436,104409,65013,99.1,79.4,50.9,98.1,39383,37.7,24.5,10898601,9.51,165.47,632169
Kaval Bairasandra,193601,192567,152405,97995,96136,63841,99.5,79.1,64.3,98.1,32275,33.6,33.0,8533133,6.86,124.91,483576
Malleswaram,166854,165380,122220,93842,91944,63512,99.1,73.9,76.8,98.0,28406,30.9,38.1,7687376,6.73,120.55,436550
Varthuru,402250,390539,324590,105265,103606,62888,97.1,83.1,32.4,98.4,40705,39.3,15.6,12961411,10.96,190.49,759723
Hagadur,278239,274893,217235,104341,102653,62887,98.8,79.0,48.0,98.4,39751,38.7,22.6,11127797,8.77,153.23,643245
Padmanabha Nagar,158399,157105,120091,90719,88380,62331,99.2,76.4,75.5,97.4,26035,29.5,39.4,7340332,6.31,113.41,414667
Chamrajapet,200517,198991,150994,104756,102838,61777,99.2,75.9,69.4,98.2,41031,39.9,30.8,7786960,6.75,120.21,445176
Umamaheshwara Ward,164543,163007,125458,91960,89945,61347,99.1,77.0,73.3,97.8,28580,31.8,37.3,7419194,5.88,107.51,418110
Yelahanka Satellite Town,169746,168473,120260,96807,95135,61324,99.3,71.4,80.5,98.3,33788,35.5,36.1,9808967,8.69,149.5,577463
Anjanapura,181644,179006,135191,91485,88729,60694,98.6,75.5,67.7,97.0,28021,31.6,33.4,9140657,8.31,144.46,531947
Jayachamarajendra  Nagar,167767,166630,130339,90839,89181,60216,99.3,78.2,69.7,98.2,28949,32.5,35.9,7887322,6.65,120.71,447086
Jayamahal,199847,198600,154332,96533,95354,57697,99.4,77.7,62.5,98.8,37629,39.5,28.9,8178556,7.08,130.82,449166
Shettihalli,172369,170961,121801,87975,86145,56658,99.2,71.2,72.2,97.9,29465,34.2,32.9,7692274,7.57,131.12,450388
Lakkasandra,244683,242974,202937,96480,94954,56502,99.3,83.5,47.5,98.4,38431,40.5,23.1,7361671,6.97,126.23,413147
Dattatreya Temple,139810,138323,104347,81795,80384,56306,98.9,75.4,78.4,98.3,24051,29.9,40.3,7092611,6.58,118.04,404266
Medahalli,210416,208912,160872,89864,88720,56103,99.3,77.0,55.9,98.7,32596,36.7,26.7,9502663,8.86,157.11,552030
K R Puram,246849,245151,181931,96758,95586,55788,99.3,74.2,53.2,98.8,39775,41.6,22.6,8730663,8.15,144.68,501154
Garudachar Playa,233812,232336,191372,97957,96448,55750,99.4,82.4,51.2,98.5,40674,42.2,23.8,9038348,8.3,147.09,510788
Katriguppe,136402,135253,100769,81074,79166,55446,99.2,74.5,80.5,97.6,23701,29.9,40.6,6475234,6.52,117.47,366779
Devarachikkanahalli,226563,224459,181209,88766,87174,55262,99.1,80.7,49.0,98.2,31900,36.6,24.4,8343832,8.29,147.16,475621
Kempegowda Ward,223033,220550,158743,91311,89805,54974,98.9,72.0,57.5,98.4,34816,38.8,24.6,9949162,9.86,168.46,592827
Neelasandra,220700,219466,187313,90231,88979,54805,99.4,85.3,48.2,98.6,34144,38.4,24.8,6463739,5.83,110.57,352007
