Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Cancellation Impact
Other Wards,"30,71,626","27,12,391","18,90,877","9,75,708",954414.0,"5,89,585",88.3%,69.7%,51.6%,97.8%,364609.0,38.2%,19.2%,"₹12,00,07,713",10.37,₹175.04,"71,90,364",38.202394348783656
Shantala Nagar,"24,01,161","23,84,599","20,67,653","8,56,568",841607.0,"4,74,271",99.3%,86.7%,41.4%,98.3%,367010.0,43.6%,19.8%,"₹7,11,77,412",7.48,₹138.74,"38,63,534",43.6082399504757
Doddakanahalli,"17,27,250","17,11,471","14,56,511","5,96,480",587089.0,"3,50,792",99.1%,85.1%,40.9%,98.4%,236139.0,40.2%,20.3%,"₹5,92,11,778",9.02,₹159.54,"33,54,728",40.22201063211881
Agara,"12,26,026","12,14,797","10,43,176","5,20,539",508562.0,"3,36,728",99.1%,85.9%,49.9%,97.7%,171714.0,33.8%,27.5%,"₹4,75,68,017",7.63,₹137.67,"26,33,026",33.76461473723951
Koramangala,"11,69,452","11,58,300","9,94,218","5,28,008",515062.0,"3,34,904",99.1%,85.8%,53.1%,97.5%,180001.0,34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",34.94744322042783
Adugodi,"11,91,234","11,82,173","10,05,962","5,36,543",522711.0,"3,13,312",99.2%,85.1%,53.3%,97.4%,209053.0,40.0%,26.3%,"₹4,38,90,701",7.02,₹131.45,"23,38,615",39.99399285647327
Suddagunte Palya,"13,20,628","13,08,932","11,26,624","5,42,706",530825.0,"2,96,399",99.1%,86.1%,48.2%,97.8%,234284.0,44.1%,22.4%,"₹3,94,11,590",7.11,₹129.98,"21,74,999",44.13582630810531
Vasanth Nagar,"9,62,005","9,55,421","7,95,373","4,23,856",416058.0,"2,62,534",99.3%,83.2%,53.3%,98.2%,153393.0,36.9%,27.3%,"₹3,59,20,222",7.4,₹132.98,"20,32,705",36.86817703300982
Bellanduru,"13,65,703","13,54,563","11,76,030","4,47,575",440185.0,"2,57,849",99.2%,86.8%,38.1%,98.3%,182240.0,41.4%,18.9%,"₹4,46,94,374",9.17,₹160.63,"25,50,817",41.400774674284676
Hoysala Nagar,"7,03,222","6,98,197","5,86,782","3,31,654",326166.0,"2,17,110",99.3%,84.0%,56.5%,98.3%,108961.0,33.4%,30.9%,"₹2,78,98,914",6.37,₹119.80,"15,04,039",33.406608904668175
Byrasandra,"6,24,214","6,18,914","5,00,722","3,14,383",308615.0,"2,08,058",99.2%,80.9%,62.8%,98.2%,100479.0,32.6%,33.3%,"₹2,47,00,142",6.28,₹113.20,"13,72,034",32.55804157283347
Old Thippasandra,"6,33,865","6,28,921","5,41,589","3,15,579",310219.0,"2,03,512",99.2%,86.1%,58.3%,98.3%,106602.0,34.4%,32.1%,"₹2,77,16,600",7.01,₹129.86,"14,93,473",34.3634658096377
Marathahalli,"11,29,332","11,20,935","9,42,426","3,75,796",369706.0,"2,02,837",99.3%,84.1%,39.9%,98.4%,166767.0,45.1%,18.0%,"₹3,57,48,713",9.01,₹160.03,"20,11,710",45.10800473890064
Domlur,"7,03,108","6,98,041","6,02,252","3,13,868",308639.0,"2,01,305",99.3%,86.3%,52.1%,98.3%,107215.0,34.7%,28.6%,"₹2,80,37,082",7.06,₹130.78,"15,07,904",34.73799487427059
HRBR Layout,"4,95,908","4,93,395","3,99,052","2,84,677",280474.0,"1,94,414",99.5%,80.9%,71.3%,98.5%,85982.0,30.7%,39.2%,"₹2,46,94,375",6.66,₹120.75,"13,65,275",30.655960980340424
Sampangiram Nagar,"9,18,287","9,11,485","7,63,612","3,61,001",355542.0,"1,88,850",99.3%,83.8%,47.3%,98.5%,166584.0,46.9%,20.6%,"₹2,80,29,607",7.69,₹137.83,"15,92,800",46.853536291071094
